Training...
episode: 32000  return: -5.34   mean: -4.92  time: 9.86s
episode: 32100  return: -5.04   mean: -4.78  time: 9.83s
episode: 32200  return: -4.70   mean: -4.84  time: 9.78s
episode: 32300  return: -4.64   mean: -4.99  time: 9.93s
episode: 32400  return: -6.62   mean: -5.05  time: 11.13s
episode: 32500  return: -4.47   mean: -4.88  time: 11.07s
episode: 32600  return: -5.22   mean: -4.96  time: 9.85s
episode: 32700  return: -4.75   mean: -4.79  time: 9.85s
episode: 32800  return: -4.20   mean: -4.87  time: 9.81s
episode: 32900  return: -5.18   mean: -4.86  time: 9.85s
episode: 33000  return: -4.57   mean: -4.81  time: 9.76s
episode: 33100  return: -4.93   mean: -5.00  time: 9.81s
episode: 33200  return: -4.25   mean: -4.99  time: 9.76s
episode: 33300  return: -5.32   mean: -4.74  time: 9.82s
episode: 33400  return: -5.41   mean: -4.81  time: 9.81s
episode: 33500  return: -4.13   mean: -4.82  time: 9.70s
episode: 33600  return: -5.68   mean: -4.93  time: 9.80s
episode: 33700  return: -5.31   mean: -4.88  time: 9.82s
episode: 33800  return: -5.99   mean: -4.83  time: 9.77s
episode: 33900  return: -5.48   mean: -4.83  time: 9.88s
episode: 34000  return: -4.18   mean: -4.81  time: 9.98s
episode: 34100  return: -5.49   mean: -4.81  time: 9.89s
episode: 34200  return: -5.04   mean: -4.82  time: 9.97s
episode: 34300  return: -5.88   mean: -4.84  time: 9.94s
episode: 34400  return: -4.84   mean: -4.79  time: 10.14s
episode: 34500  return: -4.78   mean: -4.93  time: 9.68s
episode: 34600  return: -4.97   mean: -4.83  time: 9.66s
episode: 34700  return: -4.38   mean: -4.90  time: 9.79s
episode: 34800  return: -4.23   mean: -4.89  time: 9.91s
episode: 34900  return: -4.26   mean: -4.85  time: 10.06s
episode: 35000  return: -4.58   mean: -5.01  time: 10.08s
episode: 35100  return: -5.14   mean: -4.83  time: 10.26s
episode: 35200  return: -6.75   mean: -4.82  time: 10.68s
episode: 35300  return: -4.39   mean: -4.86  time: 10.81s
episode: 35400  return: -5.11   mean: -4.87  time: 10.83s
episode: 35500  return: -4.83   mean: -5.06  time: 10.32s
episode: 35600  return: -5.22   mean: -4.88  time: 10.29s
episode: 35700  return: -4.29   mean: -4.79  time: 10.16s
episode: 35800  return: -4.19   mean: -4.92  time: 9.99s
episode: 35900  return: -4.93   mean: -4.95  time: 9.99s
episode: 36000  return: -4.22   mean: -4.90  time: 9.88s
episode: 36100  return: -5.65   mean: -4.84  time: 10.03s
episode: 36200  return: -4.58   mean: -4.87  time: 9.92s
episode: 36300  return: -4.10   mean: -4.70  time: 9.93s
episode: 36400  return: -5.49   mean: -4.80  time: 10.31s
episode: 36500  return: -6.13   mean: -4.84  time: 10.05s
episode: 36600  return: -4.47   mean: -4.92  time: 9.80s
episode: 36700  return: -6.67   mean: -4.92  time: 10.46s
episode: 36800  return: -6.01   mean: -4.90  time: 10.07s
episode: 36900  return: -4.28   mean: -4.78  time: 10.40s
episode: 37000  return: -4.14   mean: -4.77  time: 9.92s
episode: 37100  return: -4.73   mean: -4.80  time: 10.47s
episode: 37200  return: -6.10   mean: -4.85  time: 9.89s
episode: 37300  return: -4.02   mean: -4.79  time: 10.37s
episode: 37400  return: -4.75   mean: -4.87  time: 10.09s
episode: 37500  return: -4.21   mean: -4.73  time: 10.11s
episode: 37600  return: -5.46   mean: -4.74  time: 10.26s
episode: 37700  return: -4.64   mean: -4.89  time: 10.03s
episode: 37800  return: -4.14   mean: -4.84  time: 9.87s
episode: 37900  return: -5.22   mean: -4.83  time: 10.19s
episode: 38000  return: -4.03   mean: -4.94  time: 10.15s
episode: 38100  return: -5.39   mean: -4.76  time: 10.80s
episode: 38200  return: -4.99   mean: -4.82  time: 11.04s
episode: 38300  return: -4.24   mean: -4.88  time: 11.08s
episode: 38400  return: -4.74   mean: -4.81  time: 10.14s
episode: 38500  return: -4.08   mean: -4.98  time: 9.87s
episode: 38600  return: -5.95   mean: -4.91  time: 10.24s
episode: 38700  return: -4.66   mean: -4.82  time: 9.91s
episode: 38800  return: -4.18   mean: -4.89  time: 9.78s
episode: 38900  return: -4.59   mean: -4.75  time: 9.56s
episode: 39000  return: -4.81   mean: -4.77  time: 10.06s
episode: 39100  return: -4.77   mean: -4.75  time: 9.95s
episode: 39200  return: -4.16   mean: -4.87  time: 10.27s
episode: 39300  return: -4.02   mean: -4.80  time: 9.71s
episode: 39400  return: -4.21   mean: -4.70  time: 9.67s
episode: 39500  return: -4.35   mean: -4.86  time: 9.72s
episode: 39600  return: -5.78   mean: -4.86  time: 10.56s
episode: 39700  return: -4.62   mean: -4.80  time: 10.15s
episode: 39800  return: -4.47   mean: -4.73  time: 10.66s
episode: 39900  return: -4.16   mean: -4.87  time: 10.97s
episode: 40000  return: -4.22   mean: -4.75  time: 10.22s
episode: 40100  return: -4.75   mean: -4.93  time: 10.03s
episode: 40200  return: -4.65   mean: -4.77  time: 9.86s
episode: 40300  return: -4.55   mean: -4.85  time: 10.06s
episode: 40400  return: -4.14   mean: -4.87  time: 9.70s
episode: 40500  return: -4.87   mean: -4.85  time: 10.20s
episode: 40600  return: -4.45   mean: -4.83  time: 10.52s
